Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD9081,Delhi,CPET Academy,4th,Robotics,WhatsApp
LD9082,Surat,Chandigarh University,1st,Electric Vehicle,LinkedIn
LD9083,Ahmedabad,St Xaviers College,4th,Robotics,College Collaboration
LD9084,Ahmedabad,Chandigarh University,2nd,Electric Vehicle,WhatsApp
LD9085,Ahmedabad,Nirma University,3rd,Data Science,College Collaboration
LD9086,Jaipur,Gujarat Institute Of Technology,4th,Robotics,Google Form
LD9087,Hyderabad,St Xaviers College,2nd,Electric Vehicle,Instagram
LD9088,Pune,Nirma University,4th,Data Science,Instagram
LD9089,Hyderabad,Chandigarh University,2nd,Electric Vehicle,Instagram
LD9090,Surat,Chandigarh University,4th,Data Science,WhatsApp
LD9091,Kolkata,Gujarat Institute Of Technology,1st,Electric Vehicle,Mass-Mailing
LD9092,Chandigarh,CPET Academy,2nd,Data Science,College Collaboration
LD9093,Mumbai,Gujarat Institute Of Technology,3rd,Robotics,LinkedIn
LD9094,Chandigarh,St Xaviers College,2nd,Robotics,Google Form
LD9095,Chandigarh,St Xaviers College,3rd,AI,Google Form
LD9096,Mumbai,Chandigarh University,4th,Data Science,WhatsApp
LD9097,Pune,CPET Academy,4th,Robotics,Google Form
LD9098,Chandigarh,St Xaviers College,4th,AI,WhatsApp
LD9099,Chandigarh,Indus University,4th,Robotics,Google Form
LD9100,Bangalore,Chandigarh University,1st,Electric Vehicle,Instagram
LD9101,Delhi,Gujarat Institute Of Technology,4th,Electric Vehicle,Instagram
LD9102,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,Mass-Mailing
LD9103,Hyderabad,Nirma University,4th,Data Science,Instagram
LD9104,Bangalore,St Xaviers College,2nd,AI,College Collaboration
LD9105,Bangalore,Chandigarh University,4th,Robotics,Mass-Mailing
LD9106,Pune,CPET Academy,2nd,Data Science,LinkedIn
LD9107,Hyderabad,CPET Academy,3rd,Data Science,Instagram
LD9108,Chandigarh,CPET Academy,3rd,Electric Vehicle,Google Form
LD9109,Pune,Gujarat Institute Of Technology,1st,Data Science,College Collaboration
LD9110,Kolkata,Gujarat Institute Of Technology,4th,Robotics,Google Form
LD9111,Surat,Nirma University,1st,Electric Vehicle,LinkedIn
LD9112,Delhi,CPET Academy,4th,Electric Vehicle,Mass-Mailing
LD9113,Mumbai,CPET Academy,1st,Data Science,LinkedIn
LD9114,Mumbai,Nirma University,2nd,AI,LinkedIn
LD9115,Surat,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD9116,Kolkata,CPET Academy,2nd,Data Science,Google Form
LD9117,Pune,CPET Academy,4th,Data Science,College Collaboration
LD9118,Bangalore,Gujarat Institute Of Technology,3rd,Robotics,College Collaboration
LD9119,Jaipur,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD9120,Delhi,St Xaviers College,1st,Robotics,Mass-Mailing
LD9121,Jaipur,St Xaviers College,2nd,AI,WhatsApp
LD9122,Surat,Chandigarh University,2nd,AI,Google Form
LD9123,Mumbai,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD9124,Mumbai,Nirma University,4th,AI,LinkedIn
LD9125,Pune,Indus University,4th,Data Science,Google Form
LD9126,Delhi,Gujarat Institute Of Technology,3rd,Robotics,Mass-Mailing
LD9127,Kolkata,St Xaviers College,2nd,AI,Google Form
LD9128,Bangalore,Nirma University,1st,Electric Vehicle,Instagram
LD9129,Delhi,CPET Academy,3rd,Robotics,Google Form
LD9130,Chandigarh,Nirma University,4th,AI,College Collaboration
LD9131,Mumbai,St Xaviers College,1st,Robotics,College Collaboration
LD9132,Bangalore,Indus University,2nd,Robotics,LinkedIn
LD9133,Kolkata,Indus University,4th,Electric Vehicle,Instagram
LD9134,Hyderabad,CPET Academy,1st,Electric Vehicle,College Collaboration
LD9135,Jaipur,CPET Academy,4th,Data Science,College Collaboration
LD9136,Ahmedabad,Indus University,1st,Robotics,College Collaboration
LD9137,Chandigarh,Indus University,1st,Robotics,LinkedIn
LD9138,Chandigarh,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD9139,Pune,Chandigarh University,2nd,Robotics,College Collaboration
LD9140,Pune,St Xaviers College,3rd,Robotics,Mass-Mailing
LD9141,Hyderabad,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD9142,Delhi,Chandigarh University,4th,Data Science,WhatsApp
LD9143,Mumbai,St Xaviers College,3rd,Electric Vehicle,Google Form
LD9144,Ahmedabad,Indus University,4th,AI,WhatsApp
LD9145,Jaipur,Indus University,4th,Robotics,WhatsApp
LD9146,Kolkata,Nirma University,1st,Data Science,College Collaboration
LD9147,Jaipur,St Xaviers College,1st,Data Science,Google Form
LD9148,Jaipur,Gujarat Institute Of Technology,1st,Electric Vehicle,Google Form
LD9149,Hyderabad,Gujarat Institute Of Technology,1st,AI,Instagram
LD9150,Kolkata,St Xaviers College,1st,AI,Mass-Mailing
LD9151,Kolkata,Chandigarh University,1st,Robotics,Google Form
LD9152,Bangalore,Gujarat Institute Of Technology,3rd,Robotics,Google Form
LD9153,Delhi,Indus University,1st,Electric Vehicle,WhatsApp
LD9154,Mumbai,St Xaviers College,2nd,Robotics,LinkedIn
LD9155,Bangalore,CPET Academy,3rd,Data Science,LinkedIn
LD9156,Surat,St Xaviers College,3rd,Robotics,Google Form
LD9157,Hyderabad,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD9158,Delhi,Chandigarh University,2nd,Data Science,Mass-Mailing
LD9159,Jaipur,CPET Academy,1st,Electric Vehicle,WhatsApp
LD9160,Surat,Gujarat Institute Of Technology,4th,AI,Instagram
LD9161,Hyderabad,Chandigarh University,3rd,Robotics,LinkedIn
LD9162,Jaipur,St Xaviers College,3rd,AI,Mass-Mailing
LD9163,Surat,Indus University,2nd,Robotics,Mass-Mailing
LD9164,Mumbai,Chandigarh University,2nd,AI,LinkedIn
LD9165,Kolkata,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD9166,Bangalore,Indus University,2nd,AI,College Collaboration
LD9167,Pune,Gujarat Institute Of Technology,4th,Data Science,WhatsApp
LD9168,Hyderabad,CPET Academy,3rd,Data Science,LinkedIn
LD9169,Pune,Indus University,4th,Data Science,WhatsApp
LD9170,Jaipur,St Xaviers College,1st,Robotics,College Collaboration
LD9171,Mumbai,St Xaviers College,1st,AI,Instagram
LD9172,Delhi,Nirma University,2nd,Robotics,LinkedIn
LD9173,Delhi,Indus University,4th,Robotics,LinkedIn
LD9174,Delhi,St Xaviers College,4th,Data Science,College Collaboration
LD9175,Delhi,Chandigarh University,3rd,AI,College Collaboration
LD9176,Pune,Gujarat Institute Of Technology,3rd,Electric Vehicle,Mass-Mailing
LD9177,Surat,Gujarat Institute Of Technology,1st,AI,LinkedIn
LD9178,Mumbai,Gujarat Institute Of Technology,1st,AI,College Collaboration
LD9179,Kolkata,CPET Academy,4th,Robotics,Mass-Mailing
LD9180,Delhi,Nirma University,3rd,Electric Vehicle,LinkedIn
LD9181,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,LinkedIn
LD9182,Kolkata,St Xaviers College,1st,Robotics,Mass-Mailing
LD9183,Kolkata,CPET Academy,4th,Robotics,Google Form
LD9184,Chandigarh,Chandigarh University,3rd,AI,College Collaboration
LD9185,Ahmedabad,CPET Academy,3rd,Electric Vehicle,Mass-Mailing
LD9186,Ahmedabad,Indus University,3rd,Robotics,Google Form
LD9187,Chandigarh,Indus University,1st,Robotics,WhatsApp
LD9188,Pune,St Xaviers College,4th,AI,Instagram
LD9189,Mumbai,Nirma University,3rd,Data Science,Google Form
LD9190,Surat,Indus University,3rd,Electric Vehicle,WhatsApp
LD9191,Pune,Nirma University,1st,Electric Vehicle,LinkedIn
LD9192,Mumbai,Indus University,4th,Robotics,WhatsApp
LD9193,Delhi,Indus University,1st,Data Science,College Collaboration
LD9194,Mumbai,Indus University,3rd,Robotics,LinkedIn
LD9195,Delhi,CPET Academy,3rd,Data Science,LinkedIn
LD9196,Surat,Chandigarh University,1st,AI,WhatsApp
LD9197,Pune,Indus University,2nd,Electric Vehicle,College Collaboration
LD9198,Chandigarh,CPET Academy,3rd,Data Science,College Collaboration
LD9199,Ahmedabad,Nirma University,2nd,AI,Mass-Mailing
LD9200,Hyderabad,Indus University,2nd,Electric Vehicle,LinkedIn
LD9201,Hyderabad,Indus University,1st,AI,Instagram
LD9202,Surat,Chandigarh University,4th,Robotics,WhatsApp
LD9203,Surat,Indus University,4th,Data Science,LinkedIn
LD9204,Ahmedabad,CPET Academy,3rd,Data Science,Instagram
LD9205,Delhi,Nirma University,2nd,Electric Vehicle,Mass-Mailing
LD9206,Mumbai,Nirma University,1st,Robotics,Google Form
LD9207,Mumbai,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD9208,Ahmedabad,Chandigarh University,3rd,Data Science,Instagram
LD9209,Surat,CPET Academy,4th,Robotics,LinkedIn
LD9210,Surat,St Xaviers College,4th,AI,LinkedIn
LD9211,Surat,Nirma University,1st,AI,College Collaboration
LD9212,Hyderabad,Chandigarh University,3rd,Robotics,LinkedIn
LD9213,Delhi,Indus University,3rd,AI,Mass-Mailing
LD9214,Ahmedabad,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD9215,Chandigarh,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD9216,Hyderabad,Gujarat Institute Of Technology,3rd,AI,LinkedIn
LD9217,Chandigarh,Gujarat Institute Of Technology,3rd,AI,Mass-Mailing
LD9218,Surat,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD9219,Hyderabad,Chandigarh University,3rd,AI,College Collaboration
LD9220,Jaipur,CPET Academy,3rd,Robotics,Mass-Mailing
LD9221,Ahmedabad,Chandigarh University,4th,Robotics,Google Form
LD9222,Surat,Nirma University,4th,Electric Vehicle,LinkedIn
LD9223,Chandigarh,Nirma University,3rd,Robotics,Google Form
LD9224,Surat,St Xaviers College,4th,Data Science,Google Form
LD9225,Bangalore,Indus University,4th,Data Science,LinkedIn
LD9226,Hyderabad,Chandigarh University,3rd,Data Science,WhatsApp
LD9227,Pune,CPET Academy,4th,Robotics,WhatsApp
LD9228,Jaipur,CPET Academy,3rd,Electric Vehicle,Instagram
LD9229,Hyderabad,CPET Academy,2nd,Electric Vehicle,Instagram
LD9230,Pune,CPET Academy,1st,Data Science,WhatsApp
LD9231,Hyderabad,Indus University,3rd,Data Science,College Collaboration
LD9232,Mumbai,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD9233,Mumbai,CPET Academy,3rd,Data Science,Google Form
LD9234,Kolkata,Indus University,2nd,AI,College Collaboration
LD9235,Delhi,Gujarat Institute Of Technology,1st,Robotics,WhatsApp
LD9236,Mumbai,Chandigarh University,2nd,Robotics,Google Form
LD9237,Ahmedabad,Indus University,4th,Robotics,Instagram
LD9238,Bangalore,CPET Academy,3rd,AI,Instagram
LD9239,Delhi,Nirma University,4th,Robotics,Mass-Mailing
LD9240,Mumbai,CPET Academy,1st,Data Science,Instagram
LD9241,Bangalore,CPET Academy,2nd,Robotics,Instagram
LD9242,Jaipur,Chandigarh University,1st,AI,WhatsApp
LD9243,Bangalore,St Xaviers College,1st,Robotics,Google Form
LD9244,Surat,Indus University,1st,Electric Vehicle,College Collaboration
LD9245,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,Instagram
LD9246,Jaipur,St Xaviers College,4th,Electric Vehicle,Instagram
LD9247,Chandigarh,Chandigarh University,2nd,Robotics,LinkedIn
LD9248,Ahmedabad,Nirma University,2nd,AI,College Collaboration
LD9249,Surat,CPET Academy,1st,Robotics,LinkedIn
LD9250,Mumbai,Chandigarh University,3rd,Electric Vehicle,Google Form
LD9251,Mumbai,Gujarat Institute Of Technology,4th,AI,Google Form
LD9252,Pune,Gujarat Institute Of Technology,1st,Data Science,College Collaboration
LD9253,Jaipur,Chandigarh University,2nd,Electric Vehicle,College Collaboration
LD9254,Surat,St Xaviers College,3rd,Robotics,Instagram
LD9255,Delhi,St Xaviers College,3rd,AI,College Collaboration
LD9256,Bangalore,Chandigarh University,2nd,Robotics,WhatsApp
LD9257,Bangalore,Indus University,4th,Electric Vehicle,Instagram
LD9258,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD9259,Hyderabad,Nirma University,4th,AI,Google Form
LD9260,Bangalore,Nirma University,1st,AI,Instagram
LD9261,Pune,Chandigarh University,2nd,Robotics,Instagram
LD9262,Bangalore,Gujarat Institute Of Technology,2nd,Data Science,Google Form
LD9263,Pune,Chandigarh University,2nd,AI,College Collaboration
LD9264,Bangalore,Indus University,4th,AI,WhatsApp
LD9265,Mumbai,St Xaviers College,4th,Robotics,Mass-Mailing
LD9266,Mumbai,St Xaviers College,2nd,Data Science,Google Form
LD9267,Delhi,Gujarat Institute Of Technology,3rd,AI,Instagram
LD9268,Delhi,St Xaviers College,1st,AI,WhatsApp
LD9269,Ahmedabad,Indus University,3rd,Robotics,Instagram
LD9270,Hyderabad,St Xaviers College,4th,Robotics,Google Form
LD9271,Pune,Gujarat Institute Of Technology,2nd,AI,Instagram
LD9272,Ahmedabad,St Xaviers College,1st,Electric Vehicle,Mass-Mailing
LD9273,Ahmedabad,Indus University,2nd,Data Science,WhatsApp
LD9274,Surat,Nirma University,3rd,Data Science,Mass-Mailing
LD9275,Surat,Chandigarh University,1st,Data Science,College Collaboration
LD9276,Delhi,CPET Academy,1st,AI,Mass-Mailing
LD9277,Surat,Nirma University,2nd,AI,Instagram
LD9278,Pune,CPET Academy,2nd,AI,Mass-Mailing
LD9279,Pune,Indus University,1st,AI,WhatsApp
LD9280,Pune,Chandigarh University,1st,Robotics,Google Form
LD9281,Bangalore,St Xaviers College,1st,AI,WhatsApp
LD9282,Bangalore,Nirma University,3rd,AI,Mass-Mailing
LD9283,Chandigarh,Chandigarh University,2nd,Electric Vehicle,Google Form
LD9284,Pune,Gujarat Institute Of Technology,1st,Data Science,Mass-Mailing
LD9285,Surat,St Xaviers College,1st,Robotics,LinkedIn
LD9286,Bangalore,St Xaviers College,1st,Robotics,Mass-Mailing
LD9287,Kolkata,Chandigarh University,4th,Robotics,WhatsApp
LD9288,Delhi,Nirma University,3rd,Electric Vehicle,Mass-Mailing
LD9289,Kolkata,St Xaviers College,1st,Data Science,WhatsApp
LD9290,Bangalore,Nirma University,2nd,Data Science,Mass-Mailing
LD9291,Bangalore,Chandigarh University,3rd,AI,WhatsApp
LD9292,Pune,Indus University,1st,Robotics,WhatsApp
LD9293,Kolkata,Gujarat Institute Of Technology,2nd,Electric Vehicle,LinkedIn
LD9294,Hyderabad,Indus University,1st,Electric Vehicle,LinkedIn
LD9295,Ahmedabad,Chandigarh University,2nd,Electric Vehicle,Instagram
LD9296,Surat,Nirma University,3rd,Robotics,Mass-Mailing
LD9297,Pune,Chandigarh University,4th,Electric Vehicle,College Collaboration
LD9298,Surat,CPET Academy,2nd,Robotics,Instagram
LD9299,Hyderabad,Indus University,4th,Electric Vehicle,WhatsApp
LD9300,Hyderabad,Chandigarh University,4th,Data Science,Mass-Mailing
LD9301,Ahmedabad,CPET Academy,4th,Robotics,College Collaboration
LD9302,Chandigarh,St Xaviers College,4th,Electric Vehicle,Instagram
LD9303,Pune,Indus University,3rd,Robotics,LinkedIn
LD9304,Mumbai,Chandigarh University,1st,Electric Vehicle,Google Form
LD9305,Mumbai,St Xaviers College,3rd,Electric Vehicle,Instagram
LD9306,Pune,Gujarat Institute Of Technology,2nd,Robotics,LinkedIn
LD9307,Jaipur,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD9308,Kolkata,Indus University,2nd,Robotics,College Collaboration
LD9309,Jaipur,Chandigarh University,2nd,AI,Google Form
LD9310,Chandigarh,Nirma University,3rd,Electric Vehicle,Mass-Mailing
LD9311,Mumbai,Chandigarh University,4th,Data Science,LinkedIn
LD9312,Jaipur,Nirma University,3rd,AI,LinkedIn
LD9313,Delhi,Indus University,2nd,Data Science,WhatsApp
LD9314,Kolkata,Nirma University,2nd,Robotics,LinkedIn
LD9315,Pune,Chandigarh University,1st,Data Science,Mass-Mailing
LD9316,Bangalore,Nirma University,4th,Data Science,College Collaboration
LD9317,Pune,St Xaviers College,3rd,AI,Google Form
LD9318,Ahmedabad,Indus University,3rd,AI,LinkedIn
LD9319,Mumbai,Gujarat Institute Of Technology,4th,Data Science,College Collaboration
LD9320,Surat,Indus University,2nd,Robotics,Instagram
LD9321,Delhi,CPET Academy,1st,Robotics,College Collaboration
LD9322,Chandigarh,Nirma University,4th,Robotics,College Collaboration
LD9323,Kolkata,Nirma University,3rd,AI,College Collaboration
LD9324,Jaipur,Indus University,4th,Data Science,College Collaboration
LD9325,Kolkata,Gujarat Institute Of Technology,3rd,AI,Mass-Mailing
LD9326,Pune,Chandigarh University,3rd,Robotics,Google Form
LD9327,Delhi,CPET Academy,3rd,Data Science,College Collaboration
LD9328,Ahmedabad,Indus University,4th,Electric Vehicle,Instagram
LD9329,Bangalore,Chandigarh University,3rd,AI,Google Form
LD9330,Mumbai,Gujarat Institute Of Technology,3rd,Robotics,LinkedIn
LD9331,Delhi,Indus University,1st,Data Science,Instagram
LD9332,Mumbai,CPET Academy,4th,AI,Instagram
LD9333,Mumbai,Indus University,3rd,AI,Mass-Mailing
LD9334,Chandigarh,Chandigarh University,3rd,Data Science,Google Form
LD9335,Delhi,St Xaviers College,1st,AI,WhatsApp
LD9336,Mumbai,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD9337,Pune,Chandigarh University,3rd,Robotics,Instagram
LD9338,Bangalore,CPET Academy,2nd,Electric Vehicle,LinkedIn
LD9339,Hyderabad,Chandigarh University,1st,Electric Vehicle,LinkedIn
LD9340,Chandigarh,Nirma University,2nd,Electric Vehicle,WhatsApp
LD9341,Chandigarh,Nirma University,3rd,Robotics,Mass-Mailing
LD9342,Ahmedabad,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD9343,Pune,CPET Academy,3rd,Robotics,WhatsApp
LD9344,Ahmedabad,CPET Academy,2nd,Electric Vehicle,LinkedIn
LD9345,Bangalore,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD9346,Jaipur,Chandigarh University,2nd,Electric Vehicle,WhatsApp
LD9347,Surat,Gujarat Institute Of Technology,3rd,Electric Vehicle,Google Form
LD9348,Hyderabad,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD9349,Chandigarh,Gujarat Institute Of Technology,4th,Robotics,Google Form
LD9350,Hyderabad,Gujarat Institute Of Technology,4th,Data Science,LinkedIn
LD9351,Bangalore,Gujarat Institute Of Technology,3rd,AI,College Collaboration
LD9352,Surat,Chandigarh University,2nd,Robotics,College Collaboration
LD9353,Kolkata,St Xaviers College,1st,AI,Mass-Mailing
LD9354,Chandigarh,Indus University,3rd,Robotics,LinkedIn
LD9355,Kolkata,Nirma University,4th,AI,Google Form
LD9356,Bangalore,Nirma University,3rd,AI,Google Form
LD9357,Kolkata,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD9358,Bangalore,Indus University,4th,Electric Vehicle,College Collaboration
LD9359,Chandigarh,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD9360,Delhi,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD9361,Kolkata,Gujarat Institute Of Technology,3rd,Robotics,Instagram
LD9362,Pune,St Xaviers College,3rd,Electric Vehicle,College Collaboration
LD9363,Surat,St Xaviers College,1st,Robotics,Instagram
LD9364,Chandigarh,CPET Academy,4th,Robotics,College Collaboration
LD9365,Delhi,CPET Academy,1st,Robotics,Instagram
LD9366,Pune,Nirma University,1st,Data Science,Mass-Mailing
LD9367,Bangalore,Indus University,1st,Electric Vehicle,WhatsApp
LD9368,Hyderabad,CPET Academy,3rd,Robotics,Google Form
LD9369,Bangalore,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD9370,Ahmedabad,Chandigarh University,3rd,Robotics,LinkedIn
LD9371,Pune,Nirma University,1st,AI,Instagram
LD9372,Jaipur,Indus University,1st,Data Science,Mass-Mailing
LD9373,Jaipur,Indus University,4th,Robotics,Google Form
LD9374,Delhi,Indus University,1st,Electric Vehicle,College Collaboration
LD9375,Ahmedabad,CPET Academy,1st,AI,Instagram
LD9376,Hyderabad,CPET Academy,1st,AI,Google Form
LD9377,Surat,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD9378,Surat,CPET Academy,1st,Electric Vehicle,Mass-Mailing
LD9379,Bangalore,Chandigarh University,4th,Robotics,Google Form
LD9380,Mumbai,Chandigarh University,3rd,Robotics,WhatsApp
LD9381,Jaipur,CPET Academy,3rd,Robotics,College Collaboration
LD9382,Hyderabad,Chandigarh University,3rd,Robotics,Mass-Mailing
LD9383,Mumbai,Chandigarh University,4th,Electric Vehicle,Mass-Mailing
LD9384,Pune,Gujarat Institute Of Technology,4th,AI,Instagram
LD9385,Hyderabad,Indus University,1st,AI,Instagram
LD9386,Mumbai,St Xaviers College,1st,Robotics,Mass-Mailing
LD9387,Pune,Nirma University,4th,Robotics,Instagram
LD9388,Pune,St Xaviers College,3rd,Data Science,LinkedIn
LD9389,Hyderabad,Nirma University,3rd,Electric Vehicle,Instagram
LD9390,Delhi,St Xaviers College,2nd,Robotics,LinkedIn
LD9391,Hyderabad,Gujarat Institute Of Technology,1st,Electric Vehicle,Google Form
LD9392,Chandigarh,Nirma University,1st,Data Science,Instagram
LD9393,Pune,Gujarat Institute Of Technology,3rd,Robotics,Mass-Mailing
LD9394,Pune,CPET Academy,1st,Electric Vehicle,College Collaboration
LD9395,Chandigarh,CPET Academy,1st,Data Science,Google Form
LD9396,Delhi,Gujarat Institute Of Technology,4th,Electric Vehicle,Instagram
LD9397,Mumbai,St Xaviers College,2nd,AI,Instagram
LD9398,Hyderabad,Nirma University,4th,AI,WhatsApp
LD9399,Ahmedabad,Gujarat Institute Of Technology,3rd,Data Science,College Collaboration
LD9400,Chandigarh,CPET Academy,4th,Robotics,WhatsApp
LD9401,Kolkata,Chandigarh University,2nd,Robotics,Mass-Mailing
LD9402,Pune,Chandigarh University,2nd,Data Science,College Collaboration
LD9403,Surat,CPET Academy,2nd,Data Science,Instagram
LD9404,Jaipur,Nirma University,4th,Robotics,WhatsApp
LD9405,Pune,CPET Academy,3rd,AI,College Collaboration
LD9406,Kolkata,Indus University,2nd,Electric Vehicle,Google Form
LD9407,Kolkata,CPET Academy,1st,Data Science,Mass-Mailing
LD9408,Chandigarh,Chandigarh University,3rd,Electric Vehicle,Google Form
LD9409,Chandigarh,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD9410,Surat,Gujarat Institute Of Technology,1st,Robotics,LinkedIn
LD9411,Kolkata,Indus University,3rd,AI,Instagram
LD9412,Jaipur,Indus University,3rd,Electric Vehicle,Google Form
LD9413,Ahmedabad,Nirma University,2nd,AI,Google Form
LD9414,Hyderabad,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD9415,Delhi,CPET Academy,3rd,AI,Mass-Mailing
LD9416,Mumbai,St Xaviers College,1st,Data Science,Mass-Mailing
LD9417,Bangalore,Chandigarh University,1st,Robotics,WhatsApp
LD9418,Pune,St Xaviers College,4th,AI,College Collaboration
LD9419,Hyderabad,Nirma University,2nd,Data Science,WhatsApp
LD9420,Jaipur,Gujarat Institute Of Technology,1st,Electric Vehicle,Google Form
LD9421,Ahmedabad,Chandigarh University,2nd,AI,Mass-Mailing
LD9422,Mumbai,Indus University,1st,Data Science,Google Form
LD9423,Pune,CPET Academy,4th,AI,WhatsApp
LD9424,Surat,Nirma University,3rd,Robotics,LinkedIn
LD9425,Surat,St Xaviers College,3rd,Robotics,Instagram
LD9426,Kolkata,Indus University,1st,Data Science,WhatsApp
LD9427,Chandigarh,Nirma University,4th,Data Science,Mass-Mailing
LD9428,Jaipur,Nirma University,2nd,Data Science,LinkedIn
LD9429,Kolkata,Chandigarh University,2nd,AI,Mass-Mailing
LD9430,Jaipur,Chandigarh University,2nd,AI,Google Form
LD9431,Chandigarh,Gujarat Institute Of Technology,1st,Electric Vehicle,Mass-Mailing
LD9432,Kolkata,St Xaviers College,1st,AI,Google Form
LD9433,Mumbai,Chandigarh University,2nd,Data Science,WhatsApp
LD9434,Chandigarh,CPET Academy,4th,Electric Vehicle,WhatsApp
LD9435,Pune,Chandigarh University,1st,Electric Vehicle,Instagram
LD9436,Surat,Indus University,3rd,AI,College Collaboration
LD9437,Ahmedabad,St Xaviers College,4th,AI,WhatsApp
LD9438,Mumbai,Indus University,3rd,Data Science,Google Form
LD9439,Delhi,Indus University,4th,Robotics,College Collaboration
LD9440,Ahmedabad,Indus University,2nd,AI,Google Form
LD9441,Chandigarh,CPET Academy,1st,Data Science,Google Form
LD9442,Chandigarh,Gujarat Institute Of Technology,2nd,Electric Vehicle,Google Form
LD9443,Kolkata,Nirma University,1st,Data Science,Google Form
LD9444,Delhi,Gujarat Institute Of Technology,2nd,Electric Vehicle,Google Form
LD9445,Bangalore,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD9446,Chandigarh,Indus University,3rd,Robotics,Instagram
LD9447,Chandigarh,Gujarat Institute Of Technology,2nd,Robotics,Instagram
LD9448,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD9449,Ahmedabad,Indus University,4th,Electric Vehicle,College Collaboration
LD9450,Delhi,Chandigarh University,2nd,AI,Instagram
LD9451,Delhi,CPET Academy,4th,Data Science,Mass-Mailing
LD9452,Bangalore,Indus University,3rd,Electric Vehicle,College Collaboration
LD9453,Mumbai,St Xaviers College,3rd,AI,Mass-Mailing
LD9454,Mumbai,Nirma University,4th,Electric Vehicle,LinkedIn
LD9455,Mumbai,Indus University,1st,Electric Vehicle,LinkedIn
LD9456,Delhi,Chandigarh University,1st,AI,WhatsApp
LD9457,Surat,Nirma University,3rd,Electric Vehicle,LinkedIn
LD9458,Hyderabad,Chandigarh University,1st,AI,Google Form
LD9459,Mumbai,CPET Academy,4th,AI,Google Form
LD9460,Hyderabad,Gujarat Institute Of Technology,4th,Robotics,WhatsApp
LD9461,Surat,Gujarat Institute Of Technology,2nd,Robotics,Google Form
LD9462,Mumbai,Gujarat Institute Of Technology,1st,Electric Vehicle,WhatsApp
LD9463,Delhi,CPET Academy,1st,AI,WhatsApp
LD9464,Mumbai,CPET Academy,4th,Robotics,College Collaboration
LD9465,Chandigarh,Nirma University,4th,AI,Google Form
LD9466,Surat,Nirma University,2nd,Robotics,Instagram
LD9467,Mumbai,Indus University,3rd,AI,Instagram
LD9468,Delhi,St Xaviers College,4th,Data Science,Google Form
LD9469,Surat,CPET Academy,1st,Robotics,Mass-Mailing
LD9470,Kolkata,Nirma University,2nd,AI,Mass-Mailing
LD9471,Surat,Indus University,1st,Electric Vehicle,WhatsApp
LD9472,Pune,Chandigarh University,2nd,Robotics,WhatsApp
LD9473,Ahmedabad,Indus University,4th,Robotics,Google Form
LD9474,Jaipur,Nirma University,1st,Robotics,Mass-Mailing
LD9475,Bangalore,CPET Academy,3rd,Data Science,Instagram
LD9476,Chandigarh,Chandigarh University,3rd,Robotics,College Collaboration
LD9477,Surat,St Xaviers College,1st,Data Science,LinkedIn
LD9478,Jaipur,Nirma University,1st,Robotics,WhatsApp
LD9479,Bangalore,Nirma University,4th,AI,Instagram
LD9480,Mumbai,Chandigarh University,2nd,Robotics,Google Form
LD9481,Bangalore,Chandigarh University,4th,Robotics,Mass-Mailing
LD9482,Pune,Chandigarh University,2nd,AI,Instagram
LD9483,Pune,St Xaviers College,3rd,AI,Google Form
LD9484,Surat,Nirma University,1st,Robotics,Instagram
LD9485,Hyderabad,Indus University,4th,AI,Google Form
LD9486,Hyderabad,Chandigarh University,1st,Electric Vehicle,College Collaboration
